pdb	trunk	DockQ_HA
8bg3	1	
8bg3	2	
8bg3	3	
8bg3	4	
8bg4	0	
8bg4	1	0.02654293421365925
8bg4	2	0.026970368436516675
8bg4	3	0.02991739390992428
8bg4	4	0.02347164113616255
8bg5	0	0.027577079610634103
8bg5	1	0.013542432848855876
8bg5	2	0.013263656319462497
8bg5	3	0.0131151169642564
8bg5	4	0.014030427326205958
8bk2	0	
8bk2	1	0.030460031181041125
8bk2	2	
8bk2	3	0.028262783304157237
8bk2	4	
8byu	0	0.007989915043277836
8byu	1	0.005718258837515623
8byu	2	0.008289505065820288
8byu	3	0.005620427717840835
8byu	4	0.008126687007320254
8c3k	0	0.9137078058968523
8c3k	1	0.886423523759559
8c3k	2	0.8994823630820354
8c3k	3	0.8581027108211305
8c3k	4	0.8795020172037774
8c5h	0	0.013118979546238705
8c5h	1	0.013448539299673408
8c5h	2	0.05034354707024624
8c5h	3	0.014619246016204615
8c5h	4	0.08962705336354305
8cbf	0	0.022317275458799513
8cbf	1	0.02151883695439344
8cbf	2	0.02512303011921598
8cbf	3	0.01870518643619139
8cbf	4	0.022598525489596177
8d9y	0	
8d9y	1	
8d9y	2	
8d9y	3	
8d9y	4	
8d9z	0	0.1141168039584881
8d9z	1	0.1602690310242153
8d9z	2	0.128043983591805
8d9z	3	0.12354785775708732
8d9z	4	0.1544755369306578
8da0	0	0.12076162232656384
8da0	1	0.11151089578864437
8da0	2	
8da0	3	0.10945007455166818
8da0	4	
8ee2	0	
8ee2	1	
8ee2	2	
8ee2	3	
8ee2	4	
8eln	0	
8eln	1	0.5716268702652568
8eln	2	
8eln	3	
8eln	4	
8elq	0	0.010287540635724237
8elq	1	0.011050987352936345
8elq	2	0.009387054229541903
8elq	3	0.009599468302210609
8elq	4	0.05378321711833831
8et0	0	
8et0	1	
8et0	2	
8et0	3	0.1476060822231566
8et0	4	0.11217688860589585
8evd	0	
8evd	1	0.12907966290245818
8evd	2	
8evd	3	0.10105260821306998
8evd	4	0.11184340584132368
8ezk	0	
8ezk	1	
8ezk	2	0.028354248888658836
8ezk	3	0.03138568024269625
8ezk	4	0.024386260049341718
8ezl	0	0.02001704860799783
8ezl	1	0.018840866364909347
8ezl	2	0.03814833494952613
8ezl	3	0.01944986379549114
8ezl	4	0.03600499430209644
8ezm	0	0.048029225981915245
8ezm	1	0.014844157499885477
8ezm	2	0.025610807325686342
8ezm	3	0.017628327871619737
8ezm	4	0.020488200657923644
8f5i	0	0.6837130661256946
8f5i	1	0.7871158536444535
8f5i	2	0.7723833027004511
8f5i	3	0.5484571136966653
8f5i	4	0.801475244182717
8f6u	0	0.35075110491220474
8f6u	1	
8f6u	2	
8f6u	3	
8f6u	4	
8fdo	0	0.04127232998850237
8fdo	1	0.07546363853150391
8fdo	2	0.06260703906709546
8fdo	3	0.06340932408645973
8fdo	4	0.04572300771719695
8fxv	0	0.2204467702516102
8fxv	1	0.035175206134392616
8fxv	2	0.22270714801342503
8fxv	3	0.13263086782008812
8fxv	4	0.16316871217004894
8g0i	0	0.02074691178800352
8g0i	1	0.008118844778288224
8g0i	2	0.009349763479903484
8g0i	3	0.008765538563500397
8g0i	4	0.008172630198389763
8g4p	0	0.16863915334339571
8g4p	1	0.2944904039117022
8g4p	2	0.15443460923653118
8g4p	3	0.2568384468216783
8g4p	4	0.32124474347649423
8gjr	0	0.062247216529029294
8gjr	1	0.056810952590450194
8gjr	2	0.06869557537442791
8gjr	3	0.06818832882105208
8gjr	4	0.06803415340283778
8gy5	0	0.06821663948224306
8gy5	1	
8gy5	2	
8gy5	3	0.06627799154727569
8gy5	4	
8gye	0	0.007813658026671453
8gye	1	0.008060762393544646
8gye	2	0.007802029727826942
8gye	3	0.007715080650636541
8gye	4	0.007813423465329596
8h5u	0	
8h5u	1	0.0096290394792899
8h5u	2	
8h5u	3	0.009444550515363513
8h5u	4	
8h63	0	0.6512089392317062
8h63	1	0.7716374619955081
8h63	3	0.7308613037179624
8h63	4	0.8415589541053091
8h64	0	
8h64	1	
8h64	2	
8h64	3	
8h64	4	
8hes	0	0.08251774618047353
8hes	1	0.10089594923756713
8hes	2	0.03480321635591405
8hes	3	0.2618573717262627
8hes	4	0.10243203334125517
8hr2	0	0.00990924109692629
8hr2	1	0.05315500712121329
8hr2	2	0.009990692833644857
8hr2	3	0.010081056398527898
8hr2	4	0.009933519927473036
8idi	0	
8idi	1	
8idi	2	0.0074532317889444595
8idi	3	
8idi	4	
8ido	0	0.007138213401652906
8ido	1	0.006557479921843981
8ido	2	0.006932756610873452
8ido	3	0.006609088331917014
8ido	4	0.006617701548281529
8im0	0	0.7933782462678928
8im0	1	0.8172841995501088
8im0	2	0.7763405344267054
8im0	3	0.8559104502443392
8im0	4	0.7533956953569683
8im1	0	
8im1	1	
8im1	2	
8im1	3	
8im1	4	
8ipc	0	0.4716562839463507
8ipc	1	0.2735559187119935
8ipc	2	0.3761195812193807
8ipc	3	0.4115657376813933
8ipc	4	0.3657056464250857
8jel	0	
8jel	2	
8jel	3	
8jel	4	
8jeo	0	
8jeo	1	
8jeo	2	
8jeo	3	
8jeo	4	
8jyr	0	0.020314536014810435
8jyr	1	0.07405344846251834
8jyr	2	0.023307901547104364
8jyr	3	0.018495841188768947
8jyr	4	0.026371284600337344
8k33	0	
8k33	1	
8k33	2	
8k33	3	
8k33	4	
8k3k	0	0.007092464408164718
8k3k	1	0.007531186042556567
8k3k	2	0.007038501882739773
8k3k	3	0.007258181228972711
8k3k	4	0.007081391953156089
8k3l	0	
8k3l	1	
8k3l	2	
8k3l	3	
8k3l	4	
8opr	0	0.032573199606512566
8opr	1	0.008357968699522239
8opr	2	0.033700349028276726
8opr	3	0.059596810803281365
8opr	4	0.023469354373764514
8oww	0	0.010906158541380176
8oww	1	0.01093392747684682
8oww	2	0.010987004644671837
8oww	3	0.01117993396083592
8oww	4	0.010924786149013122
8h63	2	0.7130516454670511
8jel	1	
