pdb	cdr_h3_len	has_light	iptm	confidence_score	pae_cdr_ag	pae_fw_ag	pae_heavy_ag	ratio_cdr_fw	n_framework	n_cdr_h3	imbalance_ratio
8da0	20	True	0.7976863980293274	0.9057117700576782	13.659451	13.806133	13.793596	0.98937553	214	20	10.7
8ee2	14	False	0.28647181391716003	0.7980010509490967	22.49083	22.250202	22.280828	1.0108147	96	14	6.857142857142857
8eln	13	False	0.8810972571372986	0.951171338558197	3.9064932	5.6695557	5.478557	0.6890299	107	13	8.23076923076923
8elq	20	False	0.5821401476860046	0.813220202922821	13.058948	11.568001	11.80466	1.1288854	106	20	5.3
8et0	12	False	0.47895392775535583	0.8246000409126282	18.363543	19.304035	19.206743	0.95128	104	12	8.666666666666666
8evd	17	False	0.606269359588623	0.8803966641426086	13.818615	14.214451	14.160617	0.9721526	108	17	6.352941176470588
8ezk	15	False	0.20608225464820862	0.7623724937438965	24.121416	24.376532	24.360315	0.9895344	221	15	14.733333333333333
8ezl	24	False	0.404438316822052	0.7888097167015076	18.445072	23.578234	23.09321	0.78229237	230	24	9.583333333333334
8ezm	12	False	0.17459802329540253	0.7716165781021118	24.575048	26.571669	26.470144	0.92485905	224	12	18.666666666666668
8f5i	15	True	0.9124813079833984	0.9564090967178345	6.6719937	6.9254284	6.908069	0.9634052	204	15	13.6
8f6u	17	False	0.4173124432563782	0.8388270735740662	19.286446	19.271154	19.273216	1.0007935	109	17	6.411764705882353
8f6v	20	False	0.1652800589799881	0.7619864344596863	25.944185	24.757315	24.950302	1.0479403	103	20	5.15
8fdo	25	True	0.7428192496299744	0.8929154276847839	20.745039	18.202866	18.476807	1.1396579	207	25	8.28
8fxv	11	False	0.6873673796653748	0.8056115508079529	13.70683	14.03463	14.003546	0.9766435	105	11	9.545454545454545
8g0i	10	False	0.18112562596797943	0.7652242183685303	22.035397	21.708632	21.736801	1.0150523	106	10	10.6
8g4p	19	True	0.7926576137542725	0.8979728817939758	10.1489	14.140561	13.798934	0.7177155	203	19	10.68421052631579
8gjr	13	False	0.8248852491378784	0.9144394993782043	6.056499	8.255961	8.011577	0.733591	104	13	8.0
8gy5	10	True	0.9623927474021912	0.9591985940933228	1.8984742	4.594875	4.467686	0.41317213	202	10	20.2
8gye	11	True	0.7565158009529114	0.8896612524986267	16.362297	18.21476	18.12042	0.8982988	205	11	18.636363636363637
8h5t	15	False	0.17389699816703796	0.7498242259025574	23.18872	23.009666	23.032236	1.0077817	104	15	6.933333333333334
8h5u	5	False	0.5198216438293457	0.8069174885749817	14.089294	14.608882	14.585892	0.96443343	108	5	21.6
8h63	14	False	0.7866559028625488	0.9161489605903625	9.740787	10.036218	10.001462	0.9705635	105	14	7.5
8h64	18	False	0.8838213086128235	0.9265195727348328	6.094605	6.2709837	6.2447453	0.9718738	103	18	5.722222222222222
8hes	18	True	0.4716635048389435	0.8010334968566895	24.722322	25.637506	25.56159	0.9643029	199	18	11.055555555555555
8hr2	21	False	0.26567813754081726	0.7442009449005127	19.927164	19.321949	19.421242	1.0313227	107	21	5.095238095238095
8idi	22	False	0.14892472326755524	0.7359375357627869	24.109241	23.555628	23.650042	1.0235023	107	22	4.863636363636363
8ido	22	False	0.752874493598938	0.8788782954216003	7.525995	9.220616	8.929353	0.81621385	106	22	4.818181818181818
8im0	15	False	0.7772116661071777	0.9276357889175415	6.3044205	8.199842	7.9705577	0.7688465	109	15	7.266666666666667
8im1	19	False	0.4326534569263458	0.8397515416145325	15.356501	15.542285	15.51427	0.9880465	107	19	5.631578947368421
8ipc	10	True	0.7531344294548035	0.8924881219863892	10.857979	15.278358	15.070828	0.710677	203	10	20.3
8jel	12	True	0.9161346554756165	0.9382416605949402	3.7002382	6.9971094	6.813951	0.52882385	204	12	17.0
8jeo	16	True	0.7972118854522705	0.903338611125946	12.388052	14.306106	14.169712	0.86592764	209	16	13.0625
8jyr	13	True	0.7767251133918762	0.9125173687934875	11.401483	14.005419	13.8494215	0.81407654	204	13	15.692307692307692
8k33	9	False	0.704752504825592	0.8941950798034668	8.953224	8.40224	8.445359	1.0655758	106	9	11.777777777777779
8k3k	16	False	0.6235787868499756	0.798327624797821	14.495771	13.870953	13.940862	1.0450451	127	16	7.9375
8k3l	20	False	0.56996089220047	0.8322245478630066	10.496813	10.80583	10.755172	0.97140276	102	20	5.1
8opr	15	False	0.32726967334747314	0.7512044310569763	27.108059	25.836092	25.995089	1.0492321	105	15	7.0
8oww	17	False	0.3355550765991211	0.7712100148200989	20.17925	20.119726	20.127953	1.0029585	106	17	6.235294117647059
8oxv	15	True	0.6478977203369141	0.8670652508735657	16.319727	19.879072	19.641785	0.82095015	210	15	14.0
8oxw	15	True	0.38627341389656067	0.8083224296569824	25.185772	26.158476	26.093626	0.962815	210	15	14.0
8oxx	15	True	0.38315948843955994	0.8040356636047363	26.149977	26.905636	26.854807	0.97191447	208	15	13.866666666666667
8oxy	15	True	0.41280457377433777	0.8159417510032654	23.597198	25.51269	25.38442	0.9249201	209	15	13.933333333333334
8ozb	14	False	0.9545130729675293	0.9532268643379211	1.7515813	3.0345752	2.8797312	0.57720804	102	14	7.285714285714286
8pe1	16	False	0.8285683393478394	0.9039079546928406	12.743359	12.853309	12.839123	0.9914458	108	16	6.75
8pe2	15	False	0.6552200317382812	0.8716371655464172	17.04304	16.2367	16.337494	1.0496615	105	15	7.0
8pih	20	False	0.7347428202629089	0.8761469721794128	10.682043	7.6587625	8.134871	1.394748	107	20	5.35
8pmz	17	False	0.3014726936817169	0.8134991526603699	25.794493	21.728193	22.027445	1.1871439	214	17	12.588235294117647
8pwv	10	False	0.31977489590644836	0.7866823673248291	21.003626	24.144547	24.006182	0.8699118	217	10	21.7
8pww	13	False	0.18154913187026978	0.7538981437683105	25.965912	27.54695	27.456406	0.94260573	214	13	16.46153846153846
8q3j	19	True	0.9292585849761963	0.9193218350410461	3.9295235	7.505153	7.194938	0.52357674	200	19	10.526315789473685
8q6r	13	False	0.6714944839477539	0.8578584790229797	14.506562	13.795176	13.87289	1.0515678	106	13	8.153846153846153
8q7o	13	False	0.935857355594635	0.9411576390266418	2.8133755	4.4955378	4.3133035	0.6258151	107	13	8.23076923076923
8q94	20	False	0.8545650243759155	0.9068280458450317	4.1612024	5.7921205	5.5372896	0.7184247	108	20	5.4
8q95	20	False	0.9071576595306396	0.9305745959281921	3.2054856	4.65915	4.430227	0.68799794	107	20	5.35
8qf4	19	False	0.9480578899383545	0.9699243903160095	1.5866328	3.180009	2.94163	0.49893975	108	19	5.684210526315789
8qf5	12	False	0.8357676267623901	0.8774355053901672	5.23967	5.0955863	5.110364	1.0282761	105	12	8.75
8qgx	16	False	0.6807390451431274	0.8632259368896484	11.119051	11.284967	11.263386	0.98529756	107	16	6.6875
8qh0	11	True	0.6453546285629272	0.8954931497573853	18.439623	20.241276	20.1491	0.91099113	204	11	18.545454545454547
8qrg	17	False	0.38222959637641907	0.8078019022941589	15.683526	16.596535	16.471365	0.944988	107	17	6.294117647058823
8qz3	20	False	0.4521787464618683	0.7776569724082947	17.561947	17.293427	17.335714	1.0155272	107	20	5.35
8r4n	15	True	0.8316952586174011	0.8775489926338196	7.883147	10.784728	10.58599	0.7309546	204	15	13.6
8r4u	12	False	0.675077497959137	0.8484609723091125	26.386135	17.708197	18.149446	1.4900521	224	12	18.666666666666668
8rby	13	False	0.6953993439674377	0.8428614735603333	12.718157	10.209986	10.479458	1.2456586	108	13	8.307692307692308
8rj7	14	False	0.24087119102478027	0.7511832118034363	22.289398	22.157543	22.1728	1.0059508	107	14	7.642857142857143
8rp8	9	True	0.7483549118041992	0.8950327038764954	13.241059	15.251441	15.166095	0.86818415	203	9	22.555555555555557
8rw9	18	False	0.3411388099193573	0.8066245913505554	18.187786	18.758324	18.67483	0.9695848	105	18	5.833333333333333
8rz0	22	False	0.4571613371372223	0.7988336086273193	14.2751665	20.878407	20.290262	0.68372875	225	22	10.227272727272727
8rz1	13	False	0.4283141791820526	0.8044897317886353	16.814135	19.132769	19.000565	0.87881345	215	13	16.53846153846154
8rz2	13	True	0.4776496887207031	0.8269917368888855	22.033064	23.963	23.846306	0.91946185	202	13	15.538461538461538
8s0l	21	False	0.9274722933769226	0.9161607027053833	6.506762	6.138285	6.1978087	1.0600293	109	21	5.190476190476191
8s0n	21	False	0.9053966999053955	0.9288755655288696	6.9464493	5.899624	6.068726	1.1774393	109	21	5.190476190476191
8s6m	16	True	0.592265248298645	0.8516519665718079	19.08381	21.29849	21.138151	0.8960171	205	16	12.8125
8s79	8	False	0.4363571107387543	0.7739207744598389	18.64609	18.3623	18.382215	1.015455	106	8	13.25
8sdf	20	True	0.5316213965415955	0.8323230147361755	21.943653	23.81731	23.644623	0.9213321	197	20	9.85
8sfs	20	False	0.45863017439842224	0.8592169880867004	13.731537	14.08702	14.031906	0.9747652	109	20	5.45
8sfx	17	False	0.5381637215614319	0.8506681323051453	11.959739	12.975516	12.830405	0.9217158	102	17	6.0
8sfz	17	False	0.3923743665218353	0.8129245042800903	17.590633	16.147587	16.347033	1.0893661	106	17	6.235294117647059
8sgn	13	True	0.39548078179359436	0.8097986578941345	26.351255	26.57073	26.557459	0.99174	202	13	15.538461538461538
8siq	21	True	0.5542985200881958	0.8245663642883301	20.129509	23.123573	22.837776	0.870519	199	21	9.476190476190476
8sk5	19	False	0.18835164606571198	0.7368223071098328	21.28391	21.751934	21.684566	0.9784836	113	19	5.947368421052632
8slb	23	True	0.8679730296134949	0.9116434454917908	6.0517106	10.215275	9.7839155	0.5924178	199	23	8.652173913043478
8sos	20	False	0.7694588303565979	0.8948211073875427	10.67743	10.486351	10.516441	1.0182217	107	20	5.35
8sow	8	False	0.60647052526474	0.8452494740486145	11.117945	19.49193	19.186031	0.57038707	211	8	26.375
8soz	8	False	0.5343709588050842	0.8236600756645203	13.552077	21.242067	20.962433	0.63798296	212	8	26.5
8szy	10	True	0.8202329277992249	0.926292359828949	6.7861023	11.705343	11.472204	0.579744	201	10	20.1
8tbb	16	True	0.890270471572876	0.937203586101532	3.503206	7.9137754	7.5915422	0.4426719	203	16	12.6875
8tft	15	True	0.7344968318939209	0.903376579284668	11.499029	15.602943	15.328128	0.7369782	209	15	13.933333333333334
8trs	8	True	0.7157182693481445	0.869891345500946	11.906867	16.479607	16.310247	0.7225213	208	8	26.0
8ts0	15	True	0.734921395778656	0.8980033993721008	15.150697	16.265255	16.187496	0.9314761	200	15	13.333333333333334
8tuz	15	True	0.9214690327644348	0.944423496723175	3.5158584	6.6001697	6.389875	0.53269213	205	15	13.666666666666666
8tv3	14	True	0.8988281488418579	0.9327182769775391	5.407185	8.307595	8.121329	0.65087247	204	14	14.571428571428571
8u08	22	True	0.8074705600738525	0.9095150232315063	7.9942226	12.083084	11.698661	0.66160446	212	22	9.636363636363637
8u3s	11	False	0.8798052072525024	0.9216956496238708	4.2428684	5.7233167	5.586468	0.7413304	108	11	9.818181818181818
8uky	11	True	0.8820244669914246	0.9076878428459167	4.5025635	8.506419	8.303458	0.5293136	206	11	18.727272727272727
8up2	11	True	0.5321786403656006	0.8599063754081726	25.650085	24.085579	24.167921	1.0649562	198	11	18.0
8urf	11	True	0.8332065939903259	0.9102042317390442	6.2683334	11.115913	10.863195	0.5639063	200	11	18.181818181818183
8uvy	10	False	0.7101176977157593	0.8695778846740723	13.222184	12.592076	12.646397	1.05004	106	10	10.6
8uw2	10	False	0.6970677375793457	0.903342068195343	12.330355	11.381634	11.464854	1.0833554	104	10	10.4
8uw7	10	False	0.8637188076972961	0.9173857569694519	7.378231	7.243513	7.2552276	1.0185984	105	10	10.5
8uw9	10	False	0.6019784212112427	0.8695597052574158	14.504651	13.864395	13.921056	1.0461799	103	10	10.3
8v13	11	True	0.6145983338356018	0.8498607873916626	18.78175	22.530193	22.350136	0.8336258	218	11	19.818181818181817
8v52	10	True	0.6776115894317627	0.8503411412239075	19.781034	21.336092	21.265411	0.9271161	210	10	21.0
8v5q	15	True	0.6966809034347534	0.8383170962333679	16.304815	18.592705	18.436712	0.8769469	205	15	13.666666666666666
8vrs	8	False	0.25710543990135193	0.7746258974075317	23.682892	23.540022	23.544863	1.0060692	228	8	28.5
8vtd	12	True	0.8338632583618164	0.9292517900466919	5.768375	10.909073	10.62994	0.5287686	209	12	17.416666666666668
8vte	16	True	0.882961630821228	0.9231030344963074	7.097735	9.273843	9.12046	0.7653499	211	16	13.1875
8vui	10	True	0.5868175625801086	0.861603856086731	19.323444	21.53835	21.43628	0.8971646	207	10	20.7
8vvl	14	True	0.8296573162078857	0.8575418591499329	8.523639	10.592829	10.45746	0.8046612	200	14	14.285714285714286
8w0w	18	True	0.6361557245254517	0.819229245185852	19.123098	19.604116	19.565464	0.9754634	206	18	11.444444444444445
8w90	17	False	0.45354390144348145	0.8164577484130859	16.182697	15.136521	15.2835045	1.069116	104	17	6.117647058823529
8weo	14	False	0.9105986952781677	0.9488722681999207	2.9453938	6.108505	5.7570486	0.48217916	112	14	8.0
8x0t	19	True	0.7794494032859802	0.9069458842277527	8.388774	12.81201	12.443407	0.65475863	209	19	11.0
8x0y	9	True	0.712233304977417	0.8861215710639954	10.61231	14.594044	14.429661	0.72716725	209	9	23.22222222222222
8xk6	13	True	0.4492932856082916	0.8396296501159668	21.22858	21.199198	21.202381	1.001386	107	13	8.23076923076923
8y9t	19	False	0.9004965424537659	0.8974818587303162	9.842938	7.9239883	8.213354	1.2421697	107	19	5.631578947368421
8ybl	21	False	0.45686864852905273	0.7905334234237671	17.219372	16.661411	16.75295	1.0334882	107	21	5.095238095238095
8ybn	24	False	0.6949767470359802	0.8539513945579529	9.980025	10.38797	10.313232	0.9607291	107	24	4.458333333333333
8ybo	21	False	0.6969461441040039	0.8805608749389648	8.734463	7.9473834	8.076513	1.0990363	107	21	5.095238095238095
8ybp	20	False	0.8640791177749634	0.9372957348823547	3.9374924	5.9788003	5.6495576	0.65857565	104	20	5.2
8yj8	18	False	0.824759304523468	0.8996232151985168	9.711273	7.4139366	7.744753	1.3098673	107	18	5.944444444444445
8ykt	17	True	0.5618264675140381	0.8358491063117981	18.72407	22.229918	21.966204	0.8422915	209	17	12.294117647058824
8ysh	10	False	0.7907508015632629	0.8897905349731445	9.541165	7.725688	7.8821945	1.2349923	106	10	10.6
8yub	20	True	0.5678390264511108	0.8221322298049927	20.416708	22.0796	21.933731	0.92468655	208	20	10.4
8yvj	19	False	0.9060445427894592	0.9329653978347778	5.2852387	4.892781	4.9505844	1.0802116	110	19	5.7894736842105265
8yvo	22	False	0.37536269426345825	0.7701625823974609	13.966259	14.259919	14.209049	0.9794066	105	22	4.7727272727272725
8yxi	15	True	0.5332841873168945	0.8439872860908508	21.476133	22.43675	22.370653	0.95718557	203	15	13.533333333333333
8yyz	12	True	0.9254108667373657	0.9647176861763	4.3275523	6.6903114	6.5590467	0.6468387	204	12	17.0
8z2e	10	False	0.8392157554626465	0.9243724942207336	4.007225	7.266401	6.985437	0.55147314	106	10	10.6
8z2v	12	True	0.9309433698654175	0.9659748077392578	4.0453506	6.4993234	6.361071	0.6224264	201	12	16.75
8z39	12	True	0.9567722082138062	0.9805908203125	2.5849183	5.2521167	5.102555	0.49216697	202	12	16.833333333333332
8z3a	12	True	0.9536513090133667	0.9816287159919739	2.6585653	5.434521	5.2781296	0.48919955	201	12	16.75
8z8v	8	False	0.47062036395072937	0.8443188667297363	22.273226	18.639898	18.89265	1.1949221	107	8	13.375
9atm	16	True	0.6577378511428833	0.859035313129425	13.210486	18.360788	17.994545	0.7194945	209	16	13.0625
9au1	16	True	0.5281685590744019	0.8266240358352661	20.396164	23.164766	22.962494	0.8804822	203	16	12.6875
9azr	19	True	0.5926026105880737	0.8322963714599609	19.364605	20.455313	20.364021	0.9466785	208	19	10.947368421052632
9bdi	22	True	0.7163637280464172	0.8808690905570984	16.593786	18.091488	17.950678	0.9172151	212	22	9.636363636363637
9bt5	18	True	0.6221150159835815	0.8693737387657166	20.782425	21.325544	21.280495	0.97453195	199	18	11.055555555555555
9cds	6	True	0.4792120158672333	0.8426011204719543	26.163542	26.643036	26.629337	0.98200303	204	6	34.0
9d41	16	True	0.8730617761611938	0.9193059802055359	8.179836	10.61105	10.437392	0.7708791	208	16	13.0
9dbo	16	True	0.8495051860809326	0.9211479425430298	7.649733	10.5326185	10.326697	0.72628975	208	16	13.0
9dl0	16	True	0.8383376598358154	0.928628146648407	10.250877	11.203498	11.133582	0.9149712	202	16	12.625
9dq4	11	True	0.9168976545333862	0.9518842101097107	3.2581422	6.7027793	6.5240474	0.48608825	201	11	18.272727272727273
9dx6	23	True	0.5927594304084778	0.8178240060806274	16.367224	19.985146	19.62492	0.8189694	208	23	9.043478260869565
9e7n	17	False	0.19934320449829102	0.7051738500595093	23.5106	22.801695	22.898884	1.03109	107	17	6.294117647058823
9e7o	14	False	0.32414543628692627	0.7628811001777649	20.773695	20.453985	20.492239	1.0156307	103	14	7.357142857142857
9eht	12	True	0.8345916271209717	0.9180019497871399	10.030588	11.0572605	11.001514	0.9071495	209	12	17.416666666666668
9en2	14	False	0.8519355654716492	0.8548842668533325	8.251625	7.736587	7.7961783	1.0665717	107	14	7.642857142857143
9ena	23	False	0.7324001789093018	0.8939065337181091	10.694916	10.459094	10.500816	1.022547	107	23	4.6521739130434785
9erw	21	False	0.4275634288787842	0.7858044505119324	17.33624	16.43374	16.582973	1.0549175	106	21	5.0476190476190474
9etl	15	False	0.7132522463798523	0.8798012137413025	9.412249	8.211934	8.359514	1.146167	107	15	7.133333333333334
9eze	10	True	0.9706506133079529	0.9769316911697388	1.593019	3.7927687	3.6927803	0.4200148	210	10	21.0
9ezh	18	False	0.588699460029602	0.8660421371459961	9.862741	10.902343	10.747692	0.90464425	103	18	5.722222222222222
9ezi	18	False	0.5471241474151611	0.8743859529495239	10.674586	11.426685	11.314803	0.9341805	103	18	5.722222222222222
9ezu	18	False	0.5923174619674683	0.867917537689209	10.295196	11.510117	11.339269	0.89444757	110	18	6.111111111111111
9ezv	18	False	0.4357353746891022	0.8405032157897949	13.452778	13.994191	13.915598	0.9613116	106	18	5.888888888888889
9ezw	18	False	0.6349002122879028	0.8733359575271606	9.139307	9.248739	9.232981	0.9881679	107	18	5.944444444444445
9f91	18	True	0.9267053008079529	0.9168223738670349	3.1476884	5.8104553	5.5964837	0.5417284	206	18	11.444444444444445
9fc2	15	False	0.45884180068969727	0.7807816863059998	14.492954	15.355316	15.247521	0.94383955	105	15	7.0
9fik	23	True	0.6541841626167297	0.8609730005264282	17.90601	20.120024	19.898623	0.8899597	207	23	9.0
9fvb	14	False	0.18625879287719727	0.7764477133750916	24.985653	24.60903	24.652607	1.0153042	107	14	7.642857142857143
9fww	16	False	0.5238540768623352	0.8047266006469727	13.147255	12.451746	12.542218	1.0558563	107	16	6.6875
9fys	24	True	0.9549562931060791	0.9322911500930786	2.351969	3.6902604	3.4487643	0.637345	109	24	4.541666666666667
9fyt	24	True	0.9065117239952087	0.8956777453422546	5.8860254	5.343744	5.4430933	1.1014798	107	24	4.458333333333333
9fzc	12	False	0.4242442846298218	0.7987038493156433	14.73282	15.47952	15.402935	0.9517621	105	12	8.75
9fzd	13	False	0.7047225832939148	0.8745538592338562	6.664705	8.891635	8.646296	0.7495477	105	13	8.076923076923077
9g2a	20	False	0.8321290016174316	0.8733701109886169	5.166848	5.1450233	5.148544	1.004242	104	20	5.2
9g2g	17	False	0.7372925877571106	0.8260256052017212	6.283	7.2356205	7.1039577	0.86834294	106	17	6.235294117647059
9g48	24	False	0.8451347947120667	0.8545552492141724	4.8388343	4.934518	4.916717	0.98060936	105	24	4.375
9g5l	26	False	0.7177864909172058	0.8079423308372498	8.992568	8.030446	8.213038	1.1198093	111	26	4.269230769230769
9g7k	23	False	0.7364501357078552	0.8731619119644165	7.929215	7.024568	7.1846204	1.1287832	107	23	4.6521739130434785
9g97	21	False	0.7779690623283386	0.8626236915588379	10.05473	11.290356	11.08277	0.8905592	104	21	4.9523809523809526
9ggp	15	True	0.5018079280853271	0.8485735058784485	23.438927	24.0703	24.027056	0.97376966	204	15	13.6
9ghi	13	True	0.7630379796028137	0.9153133630752563	10.678486	13.579305	13.40867	0.78637946	208	13	16.0
9ghj	16	True	0.6566047072410583	0.863095760345459	17.561522	19.311287	19.185743	0.9093916	207	16	12.9375
9glz	18	False	0.4008465111255646	0.7698922753334045	15.613053	16.428072	16.301603	0.95038867	98	18	5.444444444444445
9gox	14	True	0.6676374673843384	0.8814089894294739	17.138512	18.881771	18.77233	0.907675	209	14	14.928571428571429
9gv3	26	False	0.5380356907844543	0.8915086984634399	14.445389	15.322419	15.155974	0.9427616	111	26	4.269230769230769
9gvl	17	False	0.6396905779838562	0.8762631416320801	9.868371	16.84006	16.331394	0.5860057	216	17	12.705882352941176
9gvn	13	True	0.7247305512428284	0.8893770575523376	18.394379	19.655376	19.579832	0.93584466	204	13	15.692307692307692
9gvo	15	False	0.42821362614631653	0.8043708801269531	15.126508	20.690453	20.33379	0.7310864	219	15	14.6
9h1f	7	False	0.4333752691745758	0.8163976073265076	14.708145	15.038515	15.018229	0.97803175	107	7	15.285714285714286
9h39	15	False	0.5807526707649231	0.8457211852073669	13.137954	13.194368	13.187433	0.9957243	107	15	7.133333333333334
9h4r	13	True	0.7286891937255859	0.8629783987998962	15.059267	13.992837	14.108366	1.0762125	107	13	8.23076923076923
9h4s	13	True	0.9315752983093262	0.910627007484436	4.0109725	4.085041	4.077017	0.9818683	107	13	8.23076923076923
9h6v	17	False	0.7743209600448608	0.8684965968132019	7.8774366	8.140699	8.103711	0.9676609	104	17	6.117647058823529
9h77	13	False	0.6474691033363342	0.8167142271995544	8.1403	8.080455	8.087048	1.0074061	105	13	8.076923076923077
9hi4	22	True	0.7525873780250549	0.8977096676826477	11.876057	14.7076	14.433179	0.80747753	205	22	9.318181818181818
9hj9	18	True	0.8510587811470032	0.9238985180854797	6.168848	9.98715	9.684378	0.6176785	209	18	11.61111111111111
9hk1	13	True	0.7839556932449341	0.891715943813324	11.907046	14.628417	14.4631	0.8139668	201	13	15.461538461538462
9hll	16	False	0.2350771725177765	0.7759304642677307	19.4806	19.665665	19.641394	0.9905895	106	16	6.625
9hml	13	False	0.29875800013542175	0.7777978777885437	19.127865	19.188503	19.181879	0.9968399	106	13	8.153846153846153
9ho4	14	False	0.886145830154419	0.8981947898864746	6.850045	5.86624	5.9738436	1.1677063	114	14	8.142857142857142
9ho5	14	False	0.7428659200668335	0.8965669870376587	6.5131593	8.474539	8.241833	0.7685562	104	14	7.428571428571429
9ho6	14	False	0.7868289947509766	0.9271181225776672	5.553106	6.9877644	6.82447	0.7946899	109	14	7.785714285714286
9hub	24	True	0.710455596446991	0.848852276802063	18.443384	18.152496	18.204987	1.0160247	109	24	4.541666666666667
9huo	24	True	0.9318423867225647	0.8956390619277954	4.424145	4.3899508	4.3962154	1.0077893	107	24	4.458333333333333
9hur	18	False	0.9354025721549988	0.9482291340827942	1.8839755	3.1877196	3.0029368	0.59101045	109	18	6.055555555555555
9hxo	24	True	0.9318423867225647	0.8956390619277954	4.424145	4.3899508	4.3962154	1.0077893	107	24	4.458333333333333
9hzj	18	False	0.8538233637809753	0.9456467032432556	3.1952026	4.5896063	4.388812	0.6961823	107	18	5.944444444444445
9hzk	18	False	0.8273716568946838	0.9369163513183594	3.6827326	4.781054	4.622896	0.7702763	107	18	5.944444444444445
9i59	12	True	0.5238802433013916	0.8470498919487	21.222673	22.37955	22.31528	0.9483065	204	12	17.0
9iqp	19	False	0.60288006067276	0.8250338435173035	12.685037	11.233846	11.454426	1.1291802	106	19	5.578947368421052
