pdb	seed_dir	DockQ_HA	iRMSD_HA	fnat_HA	DockQ_LA	iptm	ptm	avg_plddt	gpde	ha_iptm	ranking_score
7zoz	seed_3163119785	0.0739262566141376	10.711843867674908	0.0606060606060606	0.1517533347310549	0.606155	0.691336	88.474701	0.495627	0.189261	0.623191
7zoz	seed_958682846	0.0550395128366613	10.455968916437827	0.0	0.070199220291351	0.553646	0.634433	87.907608	0.526803	0.151816	0.569803
8a44	seed_1181241943	0.0061549718998435	16.183540001184436	0.0	0.0039868702200407	0.475474	0.595825	88.374542	0.52506	0.154473	0.499544
8a44	seed_1812140441	0.0039395122823915	19.326488369330665	0.0	0.0032795706799712	0.587001	0.681222	89.194847	0.479848	0.347644	0.605845
8a44	seed_2746317213	0.0068041608033681	15.675524621738584	0.0	0.0043325072953911	0.479508	0.584217	87.877281	0.593963	0.189496	0.50045
8a44	seed_3163119785	0.0038702409497334	19.45654637634281	0.0	0.003276017437612	0.533884	0.635268	88.612503	0.501815	0.257954	0.554161
8a44	seed_958682846	0.0103305361288118	10.756680061313329	0.0	0.0091023461210212	0.440207	0.540398	87.477356	0.576692	0.144914	0.460245
8acf	seed_1181241943	0.690799033404061	0.988107593314308	0.7959183673469388	0.7618968801852853	0.761481	0.80797	91.376717	0.476325	0.536568	0.770778
8acf	seed_1812140441	0.8009790300642177	0.9080860349588068	0.8367346938775511	0.9082319974476712	0.776064	0.790029	91.665123	0.444538	0.664688	0.778857
8acf	seed_2746317213	0.6939298291585243	0.9843485187823652	0.8163265306122449	0.7504302048473775	0.807598	0.839046	91.930405	0.426919	0.655938	0.813888
8acf	seed_3163119785	0.6684808829529657	1.0146636433391625	0.7755102040816326	0.7476739740673882	0.830577	0.852684	92.383232	0.411459	0.720061	0.834999
8acf	seed_958682846	0.6509793758659138	1.0292200766520818	0.7346938775510204	0.7059711008760533	0.805231	0.838751	92.01918	0.435245	0.6397	0.811935
8aci	seed_1181241943	0.7555554053772465	0.6104565306507646	0.851063829787234	0.8030436071638066	0.815682	0.842846	92.251389	0.426965	0.673585	0.821115
8aci	seed_1812140441	0.7394877979289721	0.6688054411200282	0.851063829787234	0.8013469982212005	0.801296	0.832617	92.108307	0.435775	0.64022	0.80756
8aci	seed_2746317213	0.8398978058141089	0.6307882443424835	0.8297872340425532	0.9206633674662008	0.744915	0.772708	91.368111	0.467653	0.577688	0.750474
8aci	seed_3163119785	0.7642233837455672	0.6459429681147882	0.851063829787234	0.7960426366174796	0.810816	0.839586	92.146729	0.438916	0.65535	0.81657
8aci	seed_958682846	0.6988697307388271	0.7109470256106507	0.7872340425531915	0.7082633712642644	0.784046	0.820921	91.704865	0.440824	0.593687	0.791421
8aok	seed_1181241943	0.5034256401875847	2.161940616590826	0.4423076923076923		0.396413	0.679938	86.784149	0.566335	0.396413	0.453118
8aok	seed_1812140441	0.5126611623575631	2.5885277382509817	0.5769230769230769		0.561564	0.764167	88.248001	0.45507	0.561564	0.602084
8aok	seed_2746317213	0.5054803010988421	2.2146198892910673	0.5384615384615384		0.374028	0.663712	86.177841	0.57036	0.374028	0.431965
8aok	seed_3163119785	0.5023464489381179	2.310441690578305	0.4423076923076923		0.348644	0.650064	86.848106	0.564006	0.348644	0.408928
8aok	seed_958682846	0.5019397377681413	2.339530333691177	0.5961538461538461		0.456163	0.707699	87.4897	0.481766	0.456163	0.506471
8aom	seed_1181241943	0.8474233823991749	0.7226724992720397	0.9318181818181818		0.862049	0.809427	88.781624	0.389287	0.862049	0.863501
8aom	seed_1812140441	0.7923009939974911	0.9608013295503932	0.9090909090909092		0.86227	0.8148	89.159294	0.380772	0.86227	0.867746
8aom	seed_2746317213	0.9157793642702068	0.4770802533994122	0.9318181818181818		0.867013	0.813194	89.02475	0.387773	0.867013	0.871219
8aom	seed_3163119785	0.7948647191452386	1.0535401602368286	0.9318181818181818		0.877271	0.829478	89.511398	0.375008	0.877271	0.881186
8aom	seed_958682846	0.7703977005065107	1.0671699245427653	0.9318181818181818		0.86996	0.811739	89.160439	0.380209	0.86996	0.859813
8apy	seed_1181241943	0.8530997094356331	0.8748233914183204	0.8289473684210527		0.88555	0.899142	90.394463	0.373833	0.88555	0.888268
8apy	seed_1812140441	0.8546105811429708	0.8415780288875305	0.8157894736842105		0.890226	0.899979	90.605453	0.37056	0.890226	0.892177
8apy	seed_2746317213	0.8484913805494708	0.8478651637639991	0.8026315789473685		0.884781	0.890541	90.120995	0.380122	0.884781	0.885933
8apy	seed_3163119785	0.8536263594291221	0.8509251975359475	0.8157894736842105		0.887201	0.892027	90.241745	0.377144	0.887201	0.888166
8apy	seed_958682846	0.8693995069438752	0.829331476112642	0.8552631578947368		0.879754	0.897674	90.232903	0.376769	0.879754	0.883338
8b17	seed_1181241943	0.9176266596584264	0.5274404501011041	0.8987341772151899		0.873238	0.895816	85.09964	0.456204	0.873238	0.877753
8b17	seed_1812140441	0.680004816809129	1.1892378097131342	0.6835443037974683		0.509921	0.817539	83.343094	0.569857	0.509921	0.571445
8b17	seed_2746317213	0.9271404057470688	0.4524506393335892	0.9240506329113924		0.877048	0.898675	85.396439	0.449189	0.877048	0.881374
8b17	seed_3163119785	0.4299355384714884	2.007995156105899	0.4556962025316455		0.258301	0.757543	82.387917	0.639992	0.258301	0.35815
8b17	seed_958682846	0.890641765620498	0.6147800651007556	0.8987341772151899		0.847584	0.889813	85.034103	0.455281	0.847584	0.85603
8b18	seed_1181241943	0.9270349046660444	0.5116660690599978	0.922077922077922		0.873024	0.895658	85.089142	0.456516	0.873024	0.877551
8b18	seed_1812140441	0.6963896585879111	1.1697939654146	0.7142857142857143		0.510554	0.817613	83.347427	0.569335	0.510554	0.571966
8b18	seed_2746317213	0.9301756352058588	0.4411527599988281	0.935064935064935		0.876541	0.898492	85.389969	0.449425	0.876541	0.880931
8b18	seed_3163119785	0.4424283213994086	1.985053845645638	0.4805194805194805		0.257016	0.757229	82.376282	0.640736	0.257016	0.357058
8b18	seed_958682846	0.8958154130256966	0.6031409954764477	0.9090909090909092		0.847128	0.889448	85.008057	0.455731	0.847128	0.855592
8b19	seed_1181241943	0.928226602855248	0.4808686714129113	0.9102564102564102		0.873434	0.895873	85.104797	0.456108	0.873434	0.877922
8b19	seed_1812140441	0.6898507600362908	1.1740777779085982	0.6923076923076923		0.50982	0.817613	83.350204	0.569553	0.50982	0.571379
8b19	seed_2746317213	0.9331914695231855	0.4293464881782218	0.935897435897436		0.87675	0.89852	85.397255	0.44923	0.87675	0.881104
8b19	seed_3163119785	0.4400909561031831	2.0001609979648234	0.4743589743589743		0.25846	0.757594	82.374001	0.640258	0.25846	0.358287
8b19	seed_958682846	0.8959985382465995	0.5876502911860737	0.8974358974358975		0.847401	0.88968	85.026344	0.455392	0.847401	0.855857
8b1a	seed_1181241943	0.9166169644210784	0.515704539086776	0.8987341772151899		0.872922	0.895578	85.085136	0.456562	0.872922	0.877453
8b1a	seed_1812140441	0.6859846799539436	1.174679210789166	0.6835443037974683		0.509295	0.817386	83.339485	0.569943	0.509295	0.570913
8b1a	seed_2746317213	0.9210004356265212	0.4614732317815954	0.9240506329113924		0.876825	0.898582	85.39946	0.449153	0.876825	0.881177
8b1a	seed_3163119785	0.43865782010511	1.9992065057083976	0.4683544303797468		0.25849	0.757732	82.390518	0.639946	0.25849	0.358339
8b1a	seed_958682846	0.8849505543649633	0.6095666335672802	0.8860759493670886		0.847288	0.889461	85.02095	0.455535	0.847288	0.855722
8b1d	seed_1181241943	0.937874650449082	0.5035946693455416	0.9452054794520548		0.873059	0.895638	85.083626	0.456479	0.873059	0.877575
8b1d	seed_1812140441	0.7085393831812853	1.1593314684486709	0.7397260273972602		0.511422	0.817681	83.351257	0.569392	0.511422	0.572673
8b1d	seed_2746317213	0.9446152848462394	0.4415489038066384	0.9726027397260274		0.876855	0.898719	85.40638	0.449091	0.876855	0.881228
8b1d	seed_3163119785	0.4534194926254448	1.9734914078603336	0.5068493150684932		0.257981	0.757567	82.393097	0.639957	0.257981	0.357898
8b1d	seed_958682846	0.908150857436409	0.5890220035511201	0.9315068493150684		0.847032	0.889395	85.000626	0.455904	0.847032	0.855505
8b1e	seed_1181241943	0.9259939233206124	0.5058102886372948	0.92		0.873146	0.895617	85.085625	0.456472	0.873146	0.87764
8b1e	seed_1812140441	0.695356241731948	1.178962246389168	0.7066666666666667		0.509209	0.817333	83.346291	0.570053	0.509209	0.570834
8b1e	seed_2746317213	0.9304050958965284	0.4490245033183612	0.9466666666666668		0.876968	0.898727	85.406342	0.44909	0.876968	0.88132
8b1e	seed_3163119785	0.4439737646209027	2.001990493384304	0.48		0.258239	0.757591	82.380577	0.640174	0.258239	0.35811
8b1e	seed_958682846	0.8898337283867814	0.6040018730728008	0.8933333333333333		0.847547	0.889693	85.039207	0.455104	0.847547	0.855977
8b1f	seed_1181241943	0.9224842284968502	0.5346601544092197	0.9210526315789472		0.872964	0.895682	85.090523	0.45635	0.872964	0.877508
8b1f	seed_1812140441	0.6917949122251089	1.1804917839827522	0.6973684210526315		0.513143	0.818187	83.364357	0.568598	0.513143	0.574152
8b1f	seed_2746317213	0.9229008330767462	0.4742963296946503	0.9342105263157896		0.876667	0.898452	85.386627	0.449423	0.876667	0.881024
8b1f	seed_3163119785	0.4432020298706584	1.9862590404038285	0.4736842105263157		0.257983	0.757416	82.387726	0.640051	0.257983	0.35787
8b1f	seed_958682846	0.8914847760938135	0.6237734607878895	0.9078947368421052		0.847001	0.889361	85.014626	0.45564	0.847001	0.855473
8b1g	seed_1181241943	0.9201779347135252	0.5761154368544825	0.9342105263157896		0.873513	0.895824	85.096848	0.456209	0.873513	0.877975
8b1g	seed_1812140441	0.6998021620395641	1.1750869134452953	0.7236842105263158		0.509498	0.817392	83.342926	0.569851	0.509498	0.571077
8b1g	seed_2746317213	0.9219255932631518	0.5091025980313454	0.9473684210526316		0.876448	0.898362	85.383553	0.44952	0.876448	0.880831
8b1g	seed_3163119785	0.4575267847670503	1.9584273650407933	0.5131578947368421		0.257851	0.757563	82.382088	0.640187	0.257851	0.357793
8b1g	seed_958682846	0.8817585498696966	0.6510160867370558	0.8947368421052632		0.847051	0.889445	85.015732	0.455687	0.847051	0.85553
8b7h	seed_1181241943	0.6198107951710864	1.3674033215741648	0.7575757575757576	0.7021191178859546	0.705697	0.753663	88.075241	0.466987	0.395988	0.71529
8b7h	seed_1812140441	0.696337806072771	1.544229741102063	0.8484848484848485	0.7795017268353575	0.750694	0.783998	89.428719	0.43022	0.49718	0.757354
8b7h	seed_2746317213	0.726160930385365	1.1237359510636484	0.8181818181818182	0.7872814246673056	0.760118	0.786802	89.631973	0.414546	0.565975	0.765455
8b7h	seed_3163119785	0.6404214785070337	1.8530567749615416	0.7272727272727273	0.7481012206934423	0.745857	0.783602	88.691658	0.45525	0.490092	0.753406
8b7h	seed_958682846	0.720491751283464	1.164646032221418	0.7272727272727273	0.8064197244917594	0.769901	0.806414	89.128975	0.431932	0.492238	0.777204
8be2	seed_1181241943	0.4836413329270508	1.365812959982623	0.6981132075471698		0.872	0.740832	87.865692	0.495527	0.872	0.846651
8be2	seed_1812140441	0.4085023103876601	1.707406991535785	0.5849056603773585		0.237081	0.620749	85.35936	0.671074	0.237081	0.315585
8be2	seed_2746317213	0.7593511489228685	1.0756958505812708	0.7169811320754716		0.892226	0.758009	89.443359	0.434355	0.892226	0.866268
8be2	seed_3163119785	0.7237134108465808	1.3299734379690165	0.6981132075471698		0.895404	0.775542	89.843018	0.418836	0.895404	0.871432
8be2	seed_958682846	0.5111483973079213	1.172521631492724	0.7169811320754716		0.869734	0.738857	87.777588	0.488688	0.869734	0.843558
8bec	seed_1181241943	0.0103243691432013	26.877361041760572	0.0		0.105841	0.472988	84.418045	0.766244	0.105841	0.17927
8bec	seed_1812140441	0.0103234438852074	25.775035114871763	0.0		0.111309	0.479862	84.806839	0.787157	0.111309	0.185019
8bec	seed_2746317213					0.113293	0.477601	84.945007	0.72725	0.113293	0.186155
8bec	seed_3163119785	0.0070681576331708	31.286296629208664	0.0		0.120812	0.479247	85.183998	0.792029	0.120812	0.192499
8bec	seed_958682846	0.061715772970792	19.123689270867143	0.1444444444444444		0.073051	0.47563	85.093246	0.788742	0.073051	0.153566
8bg2	seed_1181241943					0.118382	0.489818	83.663338	0.825471	0.118382	0.192669
8bg2	seed_1812140441					0.111734	0.486492	83.641136	0.831152	0.111734	0.186686
8bg2	seed_2746317213	0.0124007360550728	24.064340251402367	0.0		0.116177	0.469925	83.456924	0.837947	0.116177	0.186927
8bg2	seed_3163119785					0.145273	0.504478	84.025307	0.869826	0.145273	0.217114
8bg2	seed_958682846					0.126701	0.4873	83.625	0.854062	0.126701	0.198821
8bg3	seed_1181241943					0.114755	0.475615	82.50621	0.791422	0.114755	0.186927
8bg3	seed_1812140441					0.122824	0.469806	82.269211	0.784855	0.122824	0.19222
8bg3	seed_2746317213					0.116983	0.476218	82.373871	0.773316	0.116983	0.18883
8bg3	seed_3163119785					0.130616	0.479523	82.360428	0.782805	0.130616	0.200398
8bg3	seed_958682846					0.128355	0.472538	82.328865	0.766231	0.128355	0.197192
8bg4	seed_1181241943	0.0270507681714464	21.6374996607462	0.0571428571428571		0.141437	0.502404	84.321602	0.729959	0.141437	0.213631
8bg4	seed_1812140441	0.0300688469541772	19.61667401224383	0.0666666666666666		0.13049	0.492739	84.332603	0.74989	0.13049	0.202939
8bg4	seed_2746317213					0.111674	0.480495	84.134476	0.765495	0.111674	0.185438
8bg4	seed_3163119785					0.087928	0.475252	83.729927	0.803845	0.087928	0.165393
8bg4	seed_958682846	0.0235368239312414	22.558523319586296	0.0476190476190476		0.149156	0.507488	84.722176	0.747513	0.149156	0.220823
8bg5	seed_1181241943					0.127795	0.480601	84.212936	0.844965	0.127795	0.198356
8bg5	seed_1812140441					0.119774	0.484468	83.638504	0.851171	0.119774	0.192713
8bg5	seed_2746317213					0.102713	0.475059	82.421455	0.907059	0.102713	0.177182
8bg5	seed_3163119785					0.080191	0.479534	84.063515	0.799409	0.080191	0.160059
8bg5	seed_958682846					0.113031	0.477268	84.408646	0.823483	0.113031	0.185879
8bk2	seed_1181241943	0.0207962961168078	17.365896939185255	0.0	0.0193469728291436	0.502964	0.602852	87.605148	0.614492	0.116545	0.522942
8bk2	seed_1812140441	0.041102107759056	10.251791643221864	0.0	0.0413322246522463	0.533916	0.628922	87.550613	0.606745	0.167502	0.552917
8bk2	seed_2746317213	0.8124183894864867	0.6504863820968921	0.8275862068965517	0.7583430580705657	0.531853	0.623717	87.516891	0.602553	0.168382	0.550226
8bk2	seed_3163119785					0.849388	0.849737	91.255051	0.391374	0.781579	0.849457
8bk2	seed_958682846	0.8412450180769105	0.4834463830510836	0.8275862068965517	0.7665625968990738	0.816401	0.807215	90.819412	0.40273	0.76422	0.814564
8byu	seed_1181241943	0.0052079021433806	16.027034453422274	0.0	0.0056440043981704	0.501613	0.62879	87.366051	0.645337	0.143785	0.529972
8byu	seed_1812140441	0.0064405748425994	13.9087098931597	0.0	0.0075817213180058	0.517551	0.636136	87.469994	0.624099	0.233891	0.541268
8byu	seed_2746317213	0.0062291274755422	14.757284408371232	0.0	0.0049755696624591	0.497058	0.621513	87.069939	0.664388	0.136251	0.524873
8byu	seed_3163119785	0.0040572921265855	20.99617031996584	0.0	0.0057485253679815	0.493617	0.623227	86.839996	0.678007	0.119957	0.519539
8byu	seed_958682846	0.0111168313831676	12.094878560406812	0.0	0.0143092852771602	0.504419	0.627445	86.532356	0.648467	0.152878	0.529756
8c3k	seed_1181241943	0.1158383991943309	8.24986678327054	0.0588235294117647		0.206515	0.674837	80.648903	0.72358	0.206515	0.30018
8c3k	seed_1812140441	0.1004428102096887	10.430431179101875	0.0980392156862745		0.160152	0.660061	81.142845	0.734507	0.160152	0.260134
8c3k	seed_2746317213	0.93423734249546	0.5709191899057618	0.9411764705882352		0.75935	0.8605	87.146095	0.455964	0.75935	0.77958
8c3k	seed_3163119785	0.2442298518799745	4.780835807156618	0.196078431372549		0.218148	0.682359	80.939552	0.710262	0.218148	0.310991
8c3k	seed_958682846	0.3059714728399716	3.9430327853271487	0.2941176470588235		0.288043	0.703947	81.568298	0.695197	0.288043	0.371224
8c5h	seed_1181241943	0.5562666338340577	2.155498807523226	0.7346938775510204		0.332029	0.617905	84.684036	0.676522	0.332029	0.389204
8c5h	seed_1812140441	0.163641574959825	6.367531742718147	0.2040816326530612		0.205178	0.557318	83.710144	0.754331	0.205178	0.275606
8c5h	seed_2746317213	0.5307446942616324	2.297239170249105	0.7142857142857143		0.33844	0.623948	84.461327	0.693854	0.33844	0.395542
8c5h	seed_3163119785	0.5578061416607228	2.0840337502695596	0.7346938775510204		0.247381	0.579938	83.836716	0.747395	0.247381	0.313893
8c5h	seed_958682846	0.1169908600876695	8.049872139770663	0.1428571428571428		0.20864	0.557613	83.674759	0.738406	0.20864	0.278435
8cbf	seed_1181241943	0.6922013210194925	1.4637753763258916	0.8409090909090909	0.5713359114318368	0.836762	0.848308	92.65081	0.359892	0.757115	0.839071
8cbf	seed_1812140441	0.0655166779211321	7.743585758833679	0.0454545454545454	0.1456757706436046	0.537446	0.649272	88.324242	0.621153	0.151014	0.559811
8cbf	seed_2746317213	0.3566883700331906	3.353306066855531	0.5681818181818182	0.2182317221225508	0.612377	0.705877	89.114502	0.582356	0.304034	0.631077
8cbf	seed_3163119785	0.6932954539183531	1.4419461771968327	0.8636363636363636	0.6230033434385934	0.831227	0.846635	92.640717	0.362538	0.754264	0.834309
8cbf	seed_958682846	0.6866532111398139	1.6356090300553627	0.8409090909090909	0.6198434474981572	0.852989	0.863369	92.940979	0.351219	0.784285	0.855065
8d9y	seed_1181241943					0.716681	0.756029	89.844345	0.4306	0.544977	0.724551
8d9y	seed_1812140441					0.657679	0.715428	87.417191	0.553881	0.18625	0.669228
8d9y	seed_2746317213					0.694006	0.73607	88.824936	0.465453	0.379889	0.702419
8d9y	seed_3163119785					0.654475	0.71299	87.43174	0.556423	0.173884	0.666178
8d9z	seed_1181241943	0.2864536041135303	4.698044886592263	0.5142857142857142	0.1329614089429721	0.718364	0.759184	90.230507	0.440463	0.486466	0.726528
8d9z	seed_1812140441	0.4150123671827758	3.691331268483418	0.5428571428571428	0.4100218064014256	0.695453	0.742202	89.464951	0.457601	0.491073	0.704803
8d9z	seed_2746317213	0.1718751055895083	7.343743528184278	0.4	0.0444930352674073	0.686347	0.748445	88.823708	0.478178	0.38459	0.698767
8d9z	seed_3163119785	0.197988400716627	7.3673527173858	0.2857142857142857	0.1490763164585505	0.732419	0.76685	89.398155	0.478848	0.489091	0.739305
8d9z	seed_958682846	0.7854303667557666	1.4727404870941725	0.9142857142857144	0.7249195994947005	0.813558	0.815192	92.765656	0.343752	0.888249	0.813885
8da0	seed_1181241943					0.756988	0.785001	91.549789	0.372702	0.848492	0.76259
8da0	seed_1812140441					0.68808	0.734185	88.652794	0.46973	0.445604	0.708022
8da0	seed_2746317213					0.652534	0.707633	88.080414	0.532092	0.19765	0.674275
8da0	seed_3163119785					0.779944	0.797406	91.843201	0.361732	0.857677	0.794158
8da0	seed_958682846					0.673853	0.716737	87.921432	0.54733	0.196782	0.68243
8ee2	seed_1181241943					0.663644	0.886728	92.167168	0.483248	0.663644	0.70826
8ee2	seed_1812140441					0.664075	0.885334	92.110077	0.503223	0.664075	0.708327
8ee2	seed_2746317213					0.651461	0.883649	92.002182	0.506006	0.651461	0.697899
8ee2	seed_3163119785					0.638629	0.880976	91.90963	0.509105	0.638629	0.687099
8ee2	seed_958682846					0.698423	0.897402	92.575127	0.453489	0.698423	0.738219
8eln	seed_1181241943					0.733913	0.903357	93.62973	0.400513	0.733913	0.767802
8eln	seed_1812140441					0.837855	0.930749	94.396065	0.33532	0.837855	0.856434
8eln	seed_2746317213					0.821805	0.927357	94.235725	0.350103	0.821805	0.842915
8eln	seed_3163119785					0.82323	0.924094	94.039497	0.346137	0.82323	0.843403
8eln	seed_958682846					0.809007	0.924203	94.206261	0.352562	0.809007	0.832046
8elq	seed_1181241943	0.0108864836091984	16.19824502663085	0.0		0.10872	0.604978	82.105133	0.966359	0.10872	0.207972
8elq	seed_1812140441	0.2740498631407266	3.5889334292176795	0.3513513513513513		0.106159	0.601879	81.571884	0.981816	0.106159	0.205303
8elq	seed_2746317213	0.0096958802352257	14.953242731435912	0.0		0.101381	0.605154	82.554268	0.965437	0.101381	0.202136
8elq	seed_3163119785	0.0111089596777027	15.159301138356891	0.0		0.111248	0.607888	82.09304	0.966174	0.111248	0.210576
8elq	seed_958682846	0.0121645875686219	14.87331551475176	0.0		0.09824	0.603213	81.913986	0.986305	0.09824	0.199235
8et0	seed_1181241943	0.6687618204244394	1.4728933958360964	0.5774647887323944		0.851851	0.939408	93.300484	0.344066	0.851851	0.869362
8et0	seed_1812140441					0.61991	0.896595	91.751404	0.42799	0.61991	0.675247
8et0	seed_2746317213	0.6734705305598555	1.519677488930135	0.6197183098591549		0.845755	0.939287	93.31971	0.344947	0.845755	0.864462
8et0	seed_3163119785	0.6985571054544454	1.40865014257741	0.6338028169014085		0.841956	0.93949	93.409691	0.346077	0.841956	0.861463
8et0	seed_958682846	0.7065828069195924	1.4711763461838143	0.704225352112676		0.868945	0.94457	93.662254	0.334963	0.868945	0.88407
8evd	seed_1181241943					0.539988	0.839949	91.100624	0.497758	0.539988	0.59998
8evd	seed_1812140441					0.684752	0.891464	93.186493	0.391787	0.684752	0.726094
8evd	seed_2746317213					0.340016	0.775255	89.398796	0.622486	0.340016	0.427064
8evd	seed_3163119785					0.139176	0.706572	86.972687	0.719128	0.139176	0.252655
8evd	seed_958682846					0.206255	0.735533	88.979904	0.676395	0.206255	0.312111
8ezk	seed_1181241943					0.089871	0.42666	83.446274	0.79251	0.089871	0.157229
8ezk	seed_1812140441	0.02022607336587	18.64638950038045	0.0		0.116174	0.442797	82.825729	0.91521	0.116174	0.18395
8ezk	seed_2746317213					0.111842	0.434287	83.374489	0.900372	0.111842	0.176331
8ezk	seed_3163119785					0.241135	0.513962	84.11451	0.887746	0.241135	0.296926
8ezk	seed_958682846					0.1509	0.467988	83.521835	0.929346	0.1509	0.216769
8ezl	seed_1181241943	0.0239098244022117	12.427636051355249	0.0		0.195769	0.474858	81.943001	1.055794	0.195769	0.251587
8ezl	seed_1812140441	0.0069800284094796	28.922869982897037	0.0		0.170943	0.43272	80.267593	1.016615	0.170943	0.223298
8ezl	seed_2746317213	0.0200525630835028	14.017201654962948	0.0		0.221634	0.464816	82.753365	0.991455	0.221634	0.27027
8ezl	seed_3163119785	0.0218668358288673	13.566212826792755	0.0		0.17025	0.447116	81.993279	1.062381	0.17025	0.225624
8ezl	seed_958682846	0.0207303044593996	13.680644785300336	0.0		0.15832	0.443709	80.788971	1.113477	0.15832	0.215398
8ezm	seed_1181241943	0.0211319725129203	20.89067858854016	0.0161290322580645		0.13212	0.47313	85.151581	0.798352	0.13212	0.200322
8ezm	seed_1812140441	0.0151738685949323	21.918539830958498	0.0		0.074472	0.446119	84.783867	0.83356	0.074472	0.148802
8ezm	seed_2746317213	0.0165782391159885	22.865224167469524	0.0		0.129728	0.450748	84.591621	0.831355	0.129728	0.193932
8ezm	seed_3163119785	0.0119742892592903	24.539729024875484	0.0		0.116732	0.46172	85.029686	0.813739	0.116732	0.18573
8ezm	seed_958682846	0.014316521153424	20.286503746122765	0.0		0.118492	0.472158	85.478981	0.74344	0.118492	0.189225
8f5i	seed_1181241943	0.8409486783664439	1.2332683731479532	0.9565217391304348	0.7580167485376216	0.857486	0.881385	92.177719	0.376887	0.662994	0.862266
8f5i	seed_1812140441	0.764060310295124	1.4928005125907968	0.9565217391304348	0.6246668698340321	0.871951	0.892244	92.540359	0.35408	0.720349	0.876009
8f5i	seed_2746317213	0.4853594771654326	2.562499048232093	0.6521739130434783	0.4309375287989019	0.75988	0.815453	90.381035	0.469405	0.384597	0.770995
8f5i	seed_3163119785	0.7542935251017863	1.3977291361423	0.9565217391304348	0.6010846019661696	0.797722	0.842937	90.870163	0.427892	0.499909	0.806765
